City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
107,kiama,-34.6833,150.8667,10.56,74,1,2.24,AU,1684526847
108,spring creek,40.7266,-115.5859,24.05,30,13,1.31,US,1684526847
109,thompson,55.7435,-97.8558,23.26,18,26,6.74,CA,1684526847
110,lihue,21.9789,-159.3672,25.97,88,75,3.6,US,1684526847
111,yellowknife,62.456,-114.3525,10.31,53,100,9.39,CA,1684526848
112,arraial do cabo,-22.9661,-42.0278,22.92,60,40,3.09,BR,1684526848
113,udachny,66.4167,112.4,2.9,93,100,7.13,RU,1684526848
114,winnemucca,40.973,-117.7357,29.03,17,0,2.06,US,1684526848
115,college,64.8569,-147.8028,21.72,26,40,4.63,US,1684526718
116,aral,40.5156,81.2636,20.43,34,59,3.5,CN,1684526848
117,saudarkrokur,65.7461,-19.6394,8.32,64,100,14.86,IS,1684526848
118,hithadhoo,-0.6,73.0833,27.92,75,9,2.15,MV,1684526848
119,nar'yan-mar,67.6713,53.087,0.48,83,9,2.72,RU,1684526848
120,talnakh,69.4865,88.3972,2.07,100,100,2.27,RU,1684526849
121,margaret river,-33.95,115.0667,11.72,84,0,3.68,AU,1684526849
122,sandnessjoen,66.0217,12.6316,10.92,81,75,8.75,NO,1684526849
123,tralee,52.2704,-9.7026,12.18,90,100,1.55,IE,1684526849
124,llandudno,53.325,-3.8315,13.33,80,31,1.6,GB,1684526849
125,vokhtoga,58.8147,41.0461,8.86,72,27,3.6,RU,1684526849
126,saynshand,44.8824,110.1163,5.13,35,0,12.7,MN,1684526849
127,ushuaia,-54.8,-68.3,4.79,81,40,3.6,AR,1684526849
128,chonchi,-42.6128,-73.8092,10.62,68,99,1.4,CL,1684526849
129,marsh harbour,26.5412,-77.0636,27.08,71,98,6.03,BS,1684526712
130,shohimardon,39.9839,71.8028,12.43,72,73,0.77,UZ,1684526849
131,morondava,-20.2833,44.2833,22.91,73,0,3.77,MG,1684526849
132,kapa'a,22.0752,-159.319,26.38,87,75,3.6,US,1684526850
133,saint-pierre,-21.3393,55.4781,23.82,73,0,3.09,RE,1684526850
134,tofol,5.3248,163.0078,27.72,77,98,3.16,FM,1684526850
135,filey,54.21,-0.2892,11.13,86,16,0.45,GB,1684526850
136,tazovsky,67.4667,78.7,1.96,96,63,3.49,RU,1684526850
137,sonson,5.7106,-75.3107,17.17,87,100,0.99,CO,1684526850
138,la passe,45.5549,-0.8967,18.13,74,100,5.7,FR,1684526850
139,kayalpattinam,8.5667,78.1167,28.72,75,6,3.67,IN,1684526850
140,shitanjing,39.2342,106.3439,10.68,13,95,1.41,CN,1684526850
141,lompoc,34.6391,-120.4579,26.5,81,100,3.09,US,1684526851
142,boke,10.9409,-14.2967,27.13,71,100,3.31,GN,1684526851
143,tanout,14.9709,8.8879,34.91,21,47,1.89,NE,1684526851
144,avarua,-21.2078,-159.775,25.03,61,98,4.12,CK,1684526851
145,anadyr,64.75,177.4833,2.78,69,100,2.0,RU,1684526851
146,oamaru,-45.0784,170.9801,9.1,95,100,2.81,NZ,1684526851
147,taos,36.4072,-105.5731,14.19,87,100,5.14,US,1684526851
148,castillos,-34.1667,-53.8333,18.31,77,37,3.16,UY,1684526851
149,cooper's town,26.8667,-77.5167,27.04,71,56,4.19,BS,1684526851
150,kirensk,57.7853,108.1119,3.0,68,85,2.13,RU,1684526851
151,hohhot,40.8106,111.6522,8.67,15,52,3.3,CN,1684526852
152,port lincoln,-34.7333,135.8667,13.35,81,9,4.99,AU,1684526852
153,inirida,3.8653,-67.9239,28.04,87,100,1.13,CO,1684526852
154,palmer,42.1584,-72.3287,21.25,50,75,7.2,US,1684526852
